career_id,career_name,domain,difficulty_level,job_description,,skills
1,3D Animator,Computer Graphics & Animation,Intermediate,Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,,"""Blender,,OpenGL,,Three.js"""
2,3D Artist,Computer Graphics & Animation,Intermediate,Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,,"""Blender,,OpenGL"""
3,3D Character Artist,Computer Graphics & Animation,Intermediate,Specializes in creating detailed digital characters including their shapes textures and clothing for games movies and animation projects.,,"""Blender,,OpenGL"""
4,3D Environment Artist,Computer Graphics & Animation,Intermediate,Designs immersive virtual environments landscapes and digital worlds used in video games films and interactive media.,,"""Blender,,OpenGL"""
5,3D Modeling Artist,Computer Graphics & Animation,Beginner,Creates accurate digital 3D models of objects characters or environments that are later used in animation gaming and visual effects.,,"""Blender,,OpenGL"""
6,AI Engineer,Artificial Intelligence,Advanced,Develops intelligent systems and machine learning models that allow computers to analyze data learn patterns and automate complex tasks.,,"""Python,,TensorFlow,,PyTorch,,Scikit-learn"""
7,AI Ethics Engineer,Artificial Intelligence,Advanced,Ensures artificial intelligence systems are designed responsibly by addressing fairness transparency privacy and ethical implications.,,"""Python,,TensorFlow"""
8,AI Product Engineer,Artificial Intelligence,Advanced,Builds real world products powered by artificial intelligence by integrating machine learning models into software applications.,,"""Python,,TensorFlow,,React"""
9,AI Research Scientist,Artificial Intelligence,Advanced,Conducts advanced research to develop new algorithms techniques and technologies in artificial intelligence.,,"""Python,,TensorFlow,,PyTorch"""
10,AI Solutions Architect,Artificial Intelligence,Advanced,Designs and plans large scale artificial intelligence systems and architectures used by companies to solve complex problems.,,"""Python,,AWS,,Docker"""
11,AI Systems Engineer,Artificial Intelligence,Advanced,Builds reliable AI infrastructure pipelines and systems that allow machine learning models to run efficiently in production environments.,,"""Python,,TensorFlow,,Docker"""
12,Analytics Engineer,Data Science & Analytics,Intermediate,Designs systems that collect process and analyze large volumes of data to generate useful insights for organizations.,,"""Python,,SQL,,Apache Spark"""
13,API Developer,Software Development,Intermediate,Develops application programming interfaces that allow different software systems to communicate and exchange information efficiently.,,"""Node.js,,Express.js,,JavaScript"""
14,AR Developer,XR / Metaverse,Advanced,Creates augmented reality experiences that overlay digital content onto the real world using mobile devices or smart glasses.,,"""Unity,,OpenGL"""
15,Artificial General Intelligence Researcher,Artificial Intelligence,Advanced,Researches and develops next generation artificial intelligence systems that aim to achieve general human like intelligence.,,"""Python,,TensorFlow"""
16,Autonomous Systems Engineer,Robotics & Autonomous Systems,Advanced,Develops intelligent machines and robotic systems capable of performing tasks autonomously with minimal human intervention.,,"""Python,,ROS"""
17,Autonomous Vehicle Engineer,Robotics & Autonomous Systems,Advanced,Designs software systems for self driving vehicles enabling them to navigate understand surroundings and make driving decisions.,,"""Python,,ROS"""
18,Backend Developer,Software Development,Intermediate,Develops the server side logic databases and APIs that power web applications and software systems.,,"""Node.js,,Express.js,,PostgreSQL"""
19,Big Data Engineer,Data Science & Analytics,Advanced,Builds large scale data processing systems capable of handling massive datasets efficiently using distributed computing technologies.,,"""Hadoop,,Apache Spark"""
20,Blockchain Developer,Blockchain & Web3,Intermediate,Develops blockchain based applications and decentralized platforms that run on distributed networks without centralized control.,,"""Solidity,,Web3.js,,Truffle"""
21,Blockchain Security Engineer,Blockchain & Web3,Advanced,Designs secure blockchain systems and ensures smart contracts and decentralized platforms are protected from vulnerabilities.,,"""Solidity,,Web3.js,,Security"""
22,Cloud Architect,Cloud & DevOps,Advanced,Designs cloud computing architectures that allow organizations to run applications reliably at large scale.,,"""AWS,,Docker,,Kubernetes"""
23,Cloud Engineer,Cloud & DevOps,Intermediate,Develops manages and maintains cloud infrastructure used to deploy scalable software systems and services.,,"""AWS,,Docker"""
24,Cloud Infrastructure Engineer,Cloud & DevOps,Intermediate,Builds cloud infrastructure platforms that support application deployment storage networking and computing resources.,,"""AWS,,Kubernetes"""
25,Cloud Network Architect,Cloud & DevOps,Advanced,Designs large scale cloud network systems that enable secure and efficient communication between cloud services.,,"""AWS,,Networking"""
26,Cloud Platform Engineer,Cloud & DevOps,Intermediate,Develops platforms and systems that allow developers to build deploy and manage applications in cloud environments.,,"""AWS,,Docker,,Kubernetes"""
27,Cloud Security Engineer,Cloud & DevOps,Advanced,Designs and implements security measures to protect cloud infrastructure applications and data from cyber threats.,,"""AWS,,Security"""
28,Cloud Solutions Engineer,Cloud & DevOps,Intermediate,Helps organizations design and deploy effective cloud solutions tailored to their technical and business needs.,,"""AWS,,Docker"""
29,Cognitive Computing Engineer,Artificial Intelligence,Advanced,Develops intelligent computing systems that simulate human thought processes such as reasoning learning and problem solving.,,"""Python,,AI"""
